alternative,punk,heavymetal,rocknroll,psychedelic,baroque,classic,modernclassic,renaissance,romantic,deephouse,drumandbass,dubstep,techno,trance,funk,hiphop,reggae,rnb,soul
0.0,1340.3679877940792,1396.710430087156,2012.939469876524,1518.786707790507,2189.8239297520336,2798.8900957551573,2272.240895585595,3093.9212757279815,3463.4683537114684,4199.499045942758,2335.468921802231,1508.6807253204122,3597.292338051967,1107.0855299975156,3335.213425086564,3674.898127833308,3394.0479288150373,4265.672949568848,4082.2527395547622
1340.3679877940792,0.0,1932.1927113142056,2040.1822038965151,1585.252906691438,2798.8231098578676,3144.889312257601,2723.9196549411226,3023.1837729911013,3783.8940173067504,4844.724413579639,2969.4553876163704,1929.8715303442,4317.782096777992,1692.4077214089411,3979.142543586041,4213.603637381858,3758.2217160884834,4658.331862499439,4383.371513044889
1396.710430087156,1932.1927113142056,0.0,2244.57398974186,1781.0105085911844,2112.766204025226,2850.2580193676577,2391.0932096976107,3190.971697552138,3455.1382583951518,3806.175406764329,2175.137368429444,1600.9024109355391,3233.8339853104894,1434.196291343822,3267.553430872545,3424.9999008834534,3289.2011442554913,4076.4657237516462,4254.282755878677
2012.939469876524,2040.1822038965151,2244.57398974186,0.0,1872.356099057017,2416.313863924963,2509.61144905623,2576.8645243377296,2436.7652797051724,3047.992918611045,4318.0986638516215,2858.2828225131525,2532.7416269754817,3920.7680328471856,2064.6410703811916,3770.472635055977,3890.241037487683,3100.787684321672,3752.131233287363,4223.998454253961
1518.786707790507,1585.252906691438,1781.0105085911844,1872.356099057017,0.0,1980.9708464665384,2438.9545435257096,2096.3993390457076,2607.242316231262,3096.952604127499,4069.4218387507453,2368.729799947634,1809.6917839776509,3624.862298858415,1383.9868928077062,3655.087646661274,3590.7615576545527,2926.825521133809,3835.2148864580563,4058.906024652961
2189.8239297520336,2798.8231098578676,2112.766204025226,2416.313863924963,1980.9708464665384,0.0,2127.047173239092,1757.803649237014,2578.3636820405127,2403.643398835162,3130.51544450038,1924.2879003430198,2270.1476688243947,2828.8659775171877,1806.7400940593664,3288.0644848417155,2900.180722298373,2617.905407093751,3102.567457050391,4008.7455919706617
2798.8900957551573,3144.889312257601,2850.2580193676577,2509.61144905623,2438.9545435257096,2127.047173239092,0.0,2187.249411874474,2383.346257507229,2351.3717059065793,3628.580105562236,2687.4797490537353,2951.4573743123383,3549.5715927484025,2421.2005195997194,3429.347435408819,3416.2394798581986,2743.890187883013,2854.1774692717313,3617.185653845313
2272.240895585595,2723.9196549411226,2391.0932096976107,2576.8645243377296,2096.3993390457076,1757.803649237014,2187.249411874474,0.0,2671.5875359469987,2820.949946954461,3536.652425747138,2294.2995848949176,2270.6246727215034,3306.1805129348213,1849.2996108931854,3464.5446005837484,3232.46141476454,2818.0181260518266,3438.3532668507532,3976.9057247080636
3093.9212757279815,3023.1837729911013,3190.971697552138,2436.7652797051724,2607.242316231262,2578.3636820405127,2383.346257507229,2671.5875359469987,0.0,2371.3019624182866,4345.237889314731,3319.48538195894,3303.1762485920467,4371.025107976758,2825.4378471198024,4261.227484964072,3979.8867353693727,2793.8391655757505,3324.1495445520304,4281.517895084615
3463.4683537114684,3783.8940173067504,3455.1382583951518,3047.992918611045,3096.952604127499,2403.643398835162,2351.3717059065793,2820.949946954461,2371.3019624182866,0.0,3713.749385822909,3184.6507615563155,3572.5566606013094,3817.5550609774264,3090.3789702350095,4153.025245088973,3681.1458347961716,2739.4624762848885,2975.7503423388766,3812.952752998469
4199.499045942758,4844.724413579639,3806.175406764329,4318.0986638516215,4069.4218387507453,3130.51544450038,3628.580105562236,3536.652425747138,4345.237889314731,3713.749385822909,0.0,2966.02561609959,3915.0160102613854,2708.0105755000145,3748.007836293672,3988.2231918223497,3201.0178252393066,3788.5183160024894,3671.1794670874365,4906.558034622044
2335.468921802231,2969.4553876163704,2175.137368429444,2858.2828225131525,2368.729799947634,1924.2879003430198,2687.4797490537353,2294.2995848949176,3319.48538195894,3184.6507615563155,2966.02561609959,0.0,2136.212059833018,2733.954158072152,1952.6559876260242,3364.5495417195493,2593.6420726556134,2997.1171356374316,3605.2589339893375,4035.994200640769
1508.6807253204122,1929.8715303442,1600.9024109355391,2532.7416269754817,1809.6917839776509,2270.1476688243947,2951.4573743123383,2270.6246727215034,3303.1762485920467,3572.5566606013094,3915.0160102613854,2136.212059833018,0.0,3348.8414547554694,1453.180710390287,3388.012985087878,3515.1701347626968,3405.894078229923,4326.335251469606,4141.500393775291
3597.292338051967,4317.782096777992,3233.8339853104894,3920.7680328471856,3624.862298858415,2828.8659775171877,3549.5715927484025,3306.1805129348213,4371.025107976758,3817.5550609774264,2708.0105755000145,2733.954158072152,3348.8414547554694,0.0,3251.5591439129116,3637.2458931207125,3304.7252920826068,3686.441931689654,4031.558122136925,4676.299528519206
