,subject,stimulus,familiarity
1,sub-08,alternative,4
2,sub-08,punk,3
3,sub-08,metal,1
4,sub-08,rocknroll,4
5,sub-08,psychedelic,5
6,sub-08,baroque,3
7,sub-08,viennese_classic,4
8,sub-08,modern_classic,2
9,sub-08,renaissance,3
10,sub-08,romantic,5
11,sub-08,deephouse,1
12,sub-08,drumnbass,1
13,sub-08,dubstep,1
14,sub-08,techno,1
15,sub-08,trance,1
16,sub-08,funk,2
17,sub-08,hiphop,1
18,sub-08,reggae,2
19,sub-08,rnb,1
20,sub-08,soul,3
23,sub-14,alternative,2
24,sub-14,punk,1
25,sub-14,metal,2
26,sub-14,rocknroll,4
27,sub-14,psychedelic,1
28,sub-14,baroque,4
29,sub-14,viennese_classic,4
30,sub-14,modern_classic,2
31,sub-14,renaissance,5
32,sub-14,romantic,2
33,sub-14,deephouse,2
34,sub-14,drumnbass,2
35,sub-14,dubstep,1
36,sub-14,techno,3
37,sub-14,trance,3
38,sub-14,funk,1
39,sub-14,hiphop,4
40,sub-14,reggae,4
41,sub-14,rnb,1
42,sub-14,soul,1
44,sub-15,alternative,4
45,sub-15,punk,3
46,sub-15,metal,5
47,sub-15,rocknroll,5
48,sub-15,psychedelic,5
49,sub-15,baroque,4
50,sub-15,viennese_classic,5
51,sub-15,modern_classic,3
52,sub-15,renaissance,3
53,sub-15,romantic,5
54,sub-15,deephouse,1
55,sub-15,drumnbass,1
56,sub-15,dubstep,5
57,sub-15,techno,1
58,sub-15,trance,3
59,sub-15,funk,4
60,sub-15,hiphop,5
61,sub-15,reggae,4
62,sub-15,rnb,2
63,sub-15,soul,4
65,sub-12,alternative,4
66,sub-12,punk,3
67,sub-12,metal,3
68,sub-12,rocknroll,1
69,sub-12,psychedelic,4
70,sub-12,baroque,1
71,sub-12,viennese_classic,3
72,sub-12,modern_classic,1
73,sub-12,renaissance,3
74,sub-12,romantic,3
75,sub-12,deephouse,3
76,sub-12,drumnbass,2
77,sub-12,dubstep,3
78,sub-12,techno,2
79,sub-12,trance,3
80,sub-12,funk,3
81,sub-12,hiphop,4
82,sub-12,reggae,2
83,sub-12,rnb,4
84,sub-12,soul,3
87,sub-07,alternative,2
88,sub-07,punk,2
89,sub-07,metal,3
90,sub-07,rocknroll,1
91,sub-07,psychedelic,2
92,sub-07,baroque,3
93,sub-07,viennese_classic,2
94,sub-07,modern_classic,1
95,sub-07,renaissance,2
96,sub-07,romantic,2
97,sub-07,deephouse,1
98,sub-07,drumnbass,1
99,sub-07,dubstep,1
100,sub-07,techno,1
101,sub-07,trance,1
102,sub-07,funk,1
103,sub-07,hiphop,1
104,sub-07,reggae,1
105,sub-07,rnb,1
106,sub-07,soul,2
109,sub-10,alternative,1
110,sub-10,punk,1
111,sub-10,metal,1
112,sub-10,rocknroll,1
113,sub-10,psychedelic,1
114,sub-10,baroque,2
115,sub-10,viennese_classic,3
116,sub-10,modern_classic,1
117,sub-10,renaissance,5
118,sub-10,romantic,3
119,sub-10,deephouse,2
120,sub-10,drumnbass,1
121,sub-10,dubstep,1
122,sub-10,techno,1
123,sub-10,trance,1
124,sub-10,funk,5
125,sub-10,hiphop,5
126,sub-10,reggae,4
127,sub-10,rnb,1
128,sub-10,soul,1
131,sub-11,alternative,2
132,sub-11,punk,2
133,sub-11,metal,4
134,sub-11,rocknroll,3
135,sub-11,psychedelic,2
136,sub-11,baroque,4
137,sub-11,viennese_classic,5
138,sub-11,modern_classic,1
139,sub-11,renaissance,5
140,sub-11,romantic,4
141,sub-11,deephouse,5
142,sub-11,drumnbass,4
143,sub-11,dubstep,5
144,sub-11,techno,1
145,sub-11,trance,1
146,sub-11,funk,1
147,sub-11,hiphop,3
148,sub-11,reggae,1
149,sub-11,rnb,5
150,sub-11,soul,1
153,sub-01,alternative,3
154,sub-01,punk,4
155,sub-01,metal,4
156,sub-01,rocknroll,5
157,sub-01,psychedelic,5
158,sub-01,baroque,2
159,sub-01,viennese_classic,3
160,sub-01,modern_classic,2
161,sub-01,renaissance,3
162,sub-01,romantic,1
163,sub-01,deephouse,3
164,sub-01,drumnbass,1
165,sub-01,dubstep,2
166,sub-01,techno,1
167,sub-01,trance,3
168,sub-01,funk,2
169,sub-01,hiphop,2
170,sub-01,reggae,2
171,sub-01,rnb,2
172,sub-01,soul,2
175,sub-09,alternative,4
176,sub-09,punk,4
177,sub-09,metal,3
178,sub-09,rocknroll,4
179,sub-09,psychedelic,4
180,sub-09,baroque,3
181,sub-09,viennese_classic,3
182,sub-09,modern_classic,1
183,sub-09,renaissance,2
184,sub-09,romantic,4
185,sub-09,deephouse,1
186,sub-09,drumnbass,1
187,sub-09,dubstep,1
188,sub-09,techno,1
189,sub-09,trance,1
190,sub-09,funk,2
191,sub-09,hiphop,1
192,sub-09,reggae,2
193,sub-09,rnb,3
194,sub-09,soul,3
197,sub-06,alternative,3
198,sub-06,punk,4
199,sub-06,metal,2
200,sub-06,rocknroll,2
201,sub-06,psychedelic,3
202,sub-06,baroque,1
203,sub-06,viennese_classic,2
204,sub-06,modern_classic,1
205,sub-06,renaissance,4
206,sub-06,romantic,4
207,sub-06,deephouse,3
208,sub-06,drumnbass,4
209,sub-06,dubstep,5
210,sub-06,techno,1
211,sub-06,trance,3
212,sub-06,funk,1
213,sub-06,hiphop,5
214,sub-06,reggae,3
215,sub-06,rnb,1
216,sub-06,soul,4
219,sub-05,alternative,1
220,sub-05,punk,1
221,sub-05,metal,3
222,sub-05,rocknroll,1
223,sub-05,psychedelic,2
224,sub-05,baroque,1
225,sub-05,viennese_classic,3
226,sub-05,modern_classic,1
227,sub-05,renaissance,2
228,sub-05,romantic,2
229,sub-05,deephouse,1
230,sub-05,drumnbass,1
231,sub-05,dubstep,3
