,Musikgenres,Unnamed: 14,Unnamed: 15,date,expName,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,participant,rating_preferences.response,rating_preferences.rt,session,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN
0,,,,2018_Jun_20_1951,stomp,60.2736403129,right,4.18720006943,,sub-09,,,1,,,,
1,Klassik,,,2018_Jun_20_1951,stomp,60.2736403129,,,,sub-09,7.0,3.278,1,0.0,0.0,0.0,0.0
2,Blues,,,2018_Jun_20_1951,stomp,60.2736403129,,,,sub-09,4.0,4.0889999999999995,1,1.0,1.0,0.0,1.0
3,Country,,,2018_Jun_20_1951,stomp,60.2736403129,,,,sub-09,3.0,3.3089999999999997,1,2.0,2.0,0.0,2.0
4,Dance/Electronica,,,2018_Jun_20_1951,stomp,60.2736403129,,,,sub-09,2.0,2.708,1,3.0,3.0,0.0,3.0
5,Folk,,,2018_Jun_20_1951,stomp,60.2736403129,,,,sub-09,2.0,2.7460000000000004,1,4.0,4.0,0.0,4.0
6,Rap/HipHop,,,2018_Jun_20_1951,stomp,60.2736403129,,,,sub-09,1.0,2.2119999999999997,1,5.0,5.0,0.0,5.0
7,Soul/Funk,,,2018_Jun_20_1951,stomp,60.2736403129,,,,sub-09,6.0,2.7119999999999997,1,6.0,6.0,0.0,6.0
8,Religious,,,2018_Jun_20_1951,stomp,60.2736403129,,,,sub-09,3.0,3.076,1,7.0,7.0,0.0,7.0
9,Alternative,,,2018_Jun_20_1951,stomp,60.2736403129,,,,sub-09,3.0,3.389,1,8.0,8.0,0.0,8.0
10,Jazz,,,2018_Jun_20_1951,stomp,60.2736403129,,,,sub-09,4.0,1.875,1,9.0,9.0,0.0,9.0
11,Rock,,,2018_Jun_20_1951,stomp,60.2736403129,,,,sub-09,6.0,2.1319999999999997,1,10.0,10.0,0.0,10.0
12,Pop,,,2018_Jun_20_1951,stomp,60.2736403129,,,,sub-09,4.0,2.9619999999999997,1,11.0,11.0,0.0,11.0
13,Heavy/Metal,,,2018_Jun_20_1951,stomp,60.2736403129,,,,sub-09,5.0,2.928,1,12.0,12.0,0.0,12.0
14,Soundtrack/Theme_Song,,,2018_Jun_20_1951,stomp,60.2736403129,,,,sub-09,7.0,2.592,1,13.0,13.0,0.0,13.0
0,,,,2018_Jun_22_1641,stomp,60.1779093925,right,21.7224240303,,sub-11,,,1,,,,
1,Klassik,,,2018_Jun_22_1641,stomp,60.1779093925,,,,sub-11,6.0,7.91,1,0.0,0.0,0.0,0.0
2,Blues,,,2018_Jun_22_1641,stomp,60.1779093925,,,,sub-11,2.0,8.225,1,1.0,1.0,0.0,1.0
3,Country,,,2018_Jun_22_1641,stomp,60.1779093925,,,,sub-11,5.0,8.173,1,2.0,2.0,0.0,2.0
4,Dance/Electronica,,,2018_Jun_22_1641,stomp,60.1779093925,,,,sub-11,7.0,4.301,1,3.0,3.0,0.0,3.0
5,Folk,,,2018_Jun_22_1641,stomp,60.1779093925,,,,sub-11,2.0,3.458,1,4.0,4.0,0.0,4.0
6,Rap/HipHop,,,2018_Jun_22_1641,stomp,60.1779093925,,,,sub-11,6.0,10.398,1,5.0,5.0,0.0,5.0
7,Soul/Funk,,,2018_Jun_22_1641,stomp,60.1779093925,,,,sub-11,2.0,5.5,1,6.0,6.0,0.0,6.0
8,Religious,,,2018_Jun_22_1641,stomp,60.1779093925,,,,sub-11,2.0,10.218,1,7.0,7.0,0.0,7.0
9,Alternative,,,2018_Jun_22_1641,stomp,60.1779093925,,,,sub-11,6.0,3.5239999999999996,1,8.0,8.0,0.0,8.0
